class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
2,32938.4,5.00,5.00,15.00,130.83,148.69,79.5,0.764783,804.187,2394.63,8320.35,140.664,186.338,2.00,53.606,0.864247,161.00,0.4,1.665,94.2856,64.3715,1.03347
2,42841.6,4.00,11.00,26.00,115.29,221.39,34.5,0.771293,1254.44,3594.29,10939.6,267.723,298.993,2.00,48.2435,0.902881,232.00,0.0909091,1.76167,67.5215,49.7113,1.02825
2,17571.4,5.00,12.00,29.00,177.00,288.33,36.00,0.680568,1647.78,3643.33,4759.38,278.633,302.915,3.00,56.8159,0.87363,310.00,0.527778,2.33667,101.388,85.5518,1.04533
2,18425.1,1.00,9.00,19.00,199.19,366.29,31.5,1.03874,1120.81,3844.47,5267.34,355.719,398.041,8.00,58.9832,0.945134,235.00,0.888889,1.715,74.5494,70.6758,1.02079
2,10445.8,1.00,17.00,35.00,194.58,310.33,62.93,0.721392,1898.74,4407.59,3251.15,342.524,426.983,10.00,54.2443,0.893631,457.00,0.688989,1.98833,85.8268,65.4262,1.03408
2,14967.7,1.00,5.00,11.00,194.47,336.99,25.5,1.12518,989.62,3553.1,4359.27,365.897,470.618,3.00,89.9609,0.90056,186.00,0.4,1.235,85.6878,83.988,1.03819
2,12088.3,1.00,8.00,17.00,220.27,266.53,51.00,0.975872,924.49,2980.65,3457.22,255.317,279.61,5.00,54.3776,0.860151,217.00,0.458333,3.105,93.899,66.8716,1.05952
2,5093.49,4.00,6.00,16.00,142.61,171.44,39.00,0.48731,1059.43,1797.92,1421.54,178.932,201.86,3.00,66.2094,0.904588,426.00,0.666667,3.33,70.2304,60.7436,1.02888
2,6831.61,1.00,7.00,15.00,97.59,329.62,31.5,0.763351,751.529,1919.53,1929.19,273.585,296.95,5.00,50.0973,0.906313,210.00,0.657143,1.52,81.5342,67.7378,1.02837
2,10162.4,1.00,8.00,17.00,89.38,273.83,45.00,0.743213,793.939,1996.36,2719.85,300.081,352.21,5.00,46.6976,0.940251,203.00,0.4375,0.00,73.1652,55.8613,1.02082
2,6084.59,5.00,3.00,11.00,95.92,105.3,42.00,0.796543,567.174,1425.94,1650.22,129.173,150.436,2.00,51.5555,0.91119,140.00,0.666667,0.00,64.2599,62.3635,1.02583
2,7752.81,3.00,9.00,21.00,143.43,261.09,52.5,0.738255,1112.17,2652.51,2267.22,167.813,226.983,5.00,52.9552,0.904548,274.00,0.555556,1.8675,73.9463,58.7649,1.02606
